year,naics,naics_title,occ_code,occ_title,employment_level,wage_hourly_mean,wage_annual_mean,wage_hourly_median,wage_annual_median,wage_annual_pct10,wage_annual_pct90
2015,11,"Agriculture, Forestry, Fishing and Hunting",51-1011,First-Line Supervisors of Production and Operating Workers,1020.0,24.03,49990.0,22.36,46520.0,25290.0,82600.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",460.0,14.17,29480.0,13.12,27280.0,19410.0,41130.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",51-3099,"Food Processing Workers, All Other",40.0,,,,,,
2015,11,"Agriculture, Forestry, Fishing and Hunting",51-4121,"Welders, Cutters, Solderers, and Brazers",70.0,17.32,36020.0,16.95,35260.0,26390.0,48160.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",770.0,14.8,30790.0,14.62,30420.0,19040.0,43820.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",40.0,17.73,36870.0,19.35,40260.0,21060.0,49080.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",510.0,14.93,31060.0,13.1,27250.0,19380.0,51190.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",60.0,19.95,41490.0,18.38,38240.0,32130.0,57840.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",240.0,15.28,31780.0,13.84,28790.0,20290.0,48070.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",120.0,16.78,34900.0,16.3,33900.0,23740.0,47930.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",1030.0,13.81,28730.0,11.59,24120.0,18590.0,46020.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",51-9111,Packaging and Filling Machine Operators and Tenders,6240.0,12.94,26920.0,11.43,23780.0,19130.0,42760.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",920.0,12.78,26580.0,12.04,25050.0,19170.0,37600.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",51-9193,Cooling and Freezing Equipment Operators and Tenders,,18.9,39310.0,20.4,42430.0,23420.0,48160.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",51-9196,"Paper Goods Machine Setters, Operators, and Tenders",200.0,8.98,18680.0,8.84,18400.0,17160.0,19640.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",51-9198,Helpers--Production Workers,2560.0,11.02,22910.0,9.87,20520.0,17420.0,31130.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",51-9199,"Production Workers, All Other",230.0,11.41,23740.0,10.64,22130.0,17210.0,30010.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",840.0,21.19,44080.0,19.24,40010.0,26440.0,66920.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,520.0,23.32,48500.0,24.3,50530.0,25100.0,73410.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",53-2012,Commercial Pilots,1660.0,,89380.0,,75880.0,33310.0,167590.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",53-3032,Heavy and Tractor-Trailer Truck Drivers,12480.0,18.01,37460.0,17.34,36070.0,22800.0,54860.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",53-3033,Light Truck or Delivery Services Drivers,870.0,15.5,32240.0,14.21,29570.0,20500.0,47600.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",53-6099,"Transportation Workers, All Other",,15.48,32200.0,13.4,27870.0,17630.0,56870.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",53-7011,Conveyor Operators and Tenders,340.0,12.66,26340.0,11.66,24250.0,18760.0,37650.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",53-7032,Excavating and Loading Machine and Dragline Operators,80.0,23.82,49550.0,22.4,46600.0,28440.0,76210.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",53-7041,Hoist and Winch Operators,50.0,20.24,42100.0,19.79,41170.0,31730.0,55400.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",53-7051,Industrial Truck and Tractor Operators,4820.0,13.72,28540.0,12.29,25560.0,19350.0,41590.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",53-7061,Cleaners of Vehicles and Equipment,180.0,11.54,23990.0,10.78,22420.0,18300.0,31910.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",5930.0,11.83,24600.0,10.86,22600.0,18030.0,35410.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",53-7063,Machine Feeders and Offbearers,830.0,12.53,26060.0,11.84,24620.0,18700.0,36880.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",53-7064,"Packers and Packagers, Hand",11850.0,10.78,22420.0,9.66,20100.0,17500.0,30680.0
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-1011,Chief Executives,1490.0,91.31,189930.0,89.58,186330.0,56990.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-1021,General and Operations Managers,21230.0,68.82,143140.0,57.64,119900.0,53640.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-2021,Marketing Managers,380.0,86.87,180700.0,79.39,165130.0,89040.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-2022,Sales Managers,1380.0,62.35,129690.0,54.89,114160.0,62890.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-2031,Public Relations and Fundraising Managers,180.0,67.12,139620.0,61.11,127100.0,66490.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-3011,Administrative Services Managers,1260.0,52.95,110150.0,45.06,93720.0,49580.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-3021,Computer and Information Systems Managers,970.0,67.49,140390.0,64.14,133400.0,79950.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-3031,Financial Managers,3100.0,75.0,156000.0,65.82,136900.0,74690.0,
