year,region,occ_code,occ_title,employment_level,wage_hourly_mean,wage_annual_mean,wage_hourly_median,wage_annual_median,wage_annual_pct10,wage_annual_pct90
2015,US,21-2021,"Directors, Religious Activities and Education",20280.0,21.71,45160.0,18.65,38780.0,19350.0,80880.0
2015,US,21-2099,"Religious Workers, All Other",7840.0,16.9,35160.0,13.82,28750.0,18280.0,65150.0
2015,US,23-1011,Lawyers,609930.0,65.51,136260.0,55.69,115820.0,55870.0,
2015,US,23-1012,Judicial Law Clerks,12660.0,28.81,59910.0,24.39,50740.0,31820.0,108730.0
2015,US,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",14590.0,44.78,93140.0,43.56,90600.0,40270.0,158700.0
2015,US,23-1022,"Arbitrators, Mediators, and Conciliators",6380.0,33.2,69060.0,27.89,58020.0,32440.0,118090.0
2015,US,23-1023,"Judges, Magistrate Judges, and Magistrates",29020.0,55.82,116100.0,61.03,126930.0,36720.0,186720.0
2015,US,23-2011,Paralegals and Legal Assistants,271930.0,25.19,52390.0,23.47,48810.0,30670.0,79010.0
2015,US,23-2091,Court Reporters,17670.0,26.31,54720.0,23.8,49500.0,27180.0,90510.0
2015,US,23-2093,"Title Examiners, Abstractors, and Searchers",54620.0,23.96,49840.0,21.33,44370.0,27120.0,78230.0
2015,US,23-2099,"Legal Support Workers, All Other",45570.0,31.02,64530.0,25.92,53920.0,30960.0,122560.0
2015,US,25-1011,"Business Teachers, Postsecondary",84890.0,,92220.0,,75370.0,35370.0,170640.0
2015,US,25-1021,"Computer Science Teachers, Postsecondary",33760.0,,84700.0,,74840.0,37570.0,145450.0
2015,US,25-1022,"Mathematical Science Teachers, Postsecondary",53850.0,,77290.0,,67170.0,36360.0,132620.0
2015,US,25-1031,"Architecture Teachers, Postsecondary",7340.0,,84880.0,,73920.0,38360.0,144380.0
2015,US,25-1032,"Engineering Teachers, Postsecondary",37270.0,,104220.0,,95060.0,46460.0,171330.0
2015,US,25-1041,"Agricultural Sciences Teachers, Postsecondary",9680.0,,95280.0,,90780.0,46680.0,149960.0
2015,US,25-1042,"Biological Science Teachers, Postsecondary",51640.0,,86830.0,,75320.0,41170.0,149710.0
2015,US,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1660.0,,91030.0,,88270.0,45960.0,143710.0
2015,US,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",10890.0,,92540.0,,83150.0,42850.0,152310.0
2015,US,25-1052,"Chemistry Teachers, Postsecondary",21460.0,,86070.0,,75060.0,41800.0,145300.0
2015,US,25-1053,"Environmental Science Teachers, Postsecondary",5540.0,,88570.0,,78770.0,44830.0,146530.0
2015,US,25-1054,"Physics Teachers, Postsecondary",14310.0,,93950.0,,82840.0,45220.0,156280.0
2015,US,25-1061,"Anthropology and Archeology Teachers, Postsecondary",6000.0,,85440.0,,77650.0,43080.0,141370.0
2015,US,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",9240.0,,81700.0,,72300.0,37830.0,139970.0
2015,US,25-1063,"Economics Teachers, Postsecondary",13580.0,,106980.0,,94000.0,45220.0,184240.0
2015,US,25-1064,"Geography Teachers, Postsecondary",4350.0,,79690.0,,75400.0,41250.0,124190.0
2015,US,25-1065,"Political Science Teachers, Postsecondary",17460.0,,88680.0,,76370.0,40150.0,151940.0
2015,US,25-1066,"Psychology Teachers, Postsecondary",38380.0,,79370.0,,70260.0,36630.0,133810.0
2015,US,25-1067,"Sociology Teachers, Postsecondary",16160.0,,76750.0,,69230.0,37030.0,127500.0
2015,US,25-1069,"Social Sciences Teachers, Postsecondary, All Other",11250.0,,79820.0,,67490.0,36800.0,148230.0
2015,US,25-1071,"Health Specialties Teachers, Postsecondary",178900.0,,114510.0,,90840.0,41090.0,
2015,US,25-1072,"Nursing Instructors and Teachers, Postsecondary",57390.0,,73150.0,,67480.0,41490.0,112680.0
2015,US,25-1081,"Education Teachers, Postsecondary",60260.0,,68200.0,,61560.0,31430.0,114330.0
2015,US,25-1082,"Library Science Teachers, Postsecondary",4910.0,,73030.0,,67660.0,42560.0,114120.0
2015,US,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",14560.0,,64460.0,,58770.0,33060.0,103260.0
2015,US,25-1112,"Law Teachers, Postsecondary",16430.0,,126230.0,,105250.0,42150.0,
2015,US,25-1113,"Social Work Teachers, Postsecondary",11740.0,,69030.0,,63390.0,32130.0,113670.0
2015,US,25-1121,"Art, Drama, and Music Teachers, Postsecondary",98310.0,,76710.0,,65340.0,33450.0,129150.0
2015,US,25-1122,"Communications Teachers, Postsecondary",29050.0,,70290.0,,63410.0,33070.0,119400.0
2015,US,25-1123,"English Language and Literature Teachers, Postsecondary",75730.0,,71210.0,,61990.0,34180.0,121860.0
2015,US,25-1124,"Foreign Language and Literature Teachers, Postsecondary",30120.0,,69520.0,,61380.0,34000.0,118530.0
